date,rice,wheat,onion,tomato,potato,sugar,milk,egg,chicken,oil,chili
2017-01-08,42.26,36.56,18.4,16.92,20.36,30.16,51.53,5.99,124.42,125.44,85.19
2017-01-09,40.87,37.64,18.74,16.66,20.99,29.65,52.02,5.76,128.39,129.0,82.89
2017-01-10,40.8,39.89,19.9,16.87,22.36,30.68,53.77,5.66,133.02,132.15,83.17
2017-01-11,39.17,39.12,21.14,17.81,23.06,31.68,50.78,5.78,133.68,130.03,78.21
2017-01-12,37.31,36.62,21.13,17.96,23.62,31.9,48.17,5.68,126.53,125.85,74.98
2017-02-08,42.23,36.61,18.41,16.9,20.36,30.14,51.57,5.98,124.6,125.56,85.14
2017-02-09,40.81,37.67,18.75,16.66,21.01,29.65,52.04,5.76,128.52,129.07,82.78
2017-02-10,40.53,38.44,19.81,17.15,22.08,30.47,51.44,5.8,132.32,130.38,81.54
2017-02-11,38.94,39.0,20.61,17.65,23.43,31.37,51.41,5.86,130.25,132.46,80.54
2017-02-12,37.31,36.58,21.16,17.99,23.64,31.94,48.12,5.68,126.41,125.74,74.95
2017-03-08,42.19,36.64,18.41,16.89,20.38,30.11,51.62,5.97,124.74,125.66,85.1
2017-03-09,40.77,37.69,18.77,16.66,21.03,29.65,52.02,5.75,128.59,129.16,82.7
2017-03-10,39.64,39.27,20.02,17.54,22.63,31.23,53.3,5.64,136.8,132.19,83.58
2017-03-11,39.2,37.75,21.3,17.38,23.39,32.11,51.87,5.69,130.92,135.17,77.42
2017-03-12,37.29,36.54,21.18,18.01,23.66,31.99,48.06,5.69,126.3,125.64,74.92
2017-04-08,42.17,36.68,18.42,16.88,20.39,30.09,51.66,5.96,124.9,125.78,85.06
2017-04-09,40.75,37.72,18.78,16.66,21.06,29.64,52.02,5.75,128.69,129.22,82.6
2017-04-10,39.94,39.16,20.17,17.02,23.04,30.36,52.97,5.63,136.43,132.79,79.65
2017-04-11,38.07,38.73,20.75,18.11,23.76,31.79,50.95,5.84,135.12,132.32,79.76
2017-04-12,37.28,36.5,21.21,18.04,23.68,32.04,47.99,5.69,126.15,125.5,74.9
2017-05-08,42.12,34.56,18.42,16.87,20.41,30.06,51.69,5.95,125.02,125.94,85.01
2017-05-09,40.7,37.74,18.8,16.66,21.09,29.64,52.03,5.74,128.78,129.28,82.52
2017-05-10,40.73,39.73,20.13,17.14,22.67,30.97,53.69,5.64,136.5,130.97,80.96
2017-05-11,39.02,39.06,21.29,18.02,23.24,30.9,51.53,5.6,131.49,134.05,77.84
2017-05-12,37.27,36.46,21.24,18.07,23.7,32.08,47.93,5.69,126.04,125.34,74.89
2017-06-08,42.08,36.77,18.42,16.85,20.42,30.03,51.71,5.95,125.16,126.07,84.93
2017-06-09,40.66,37.76,18.83,16.66,21.11,29.63,52.01,5.73,128.83,129.35,82.42
2017-06-10,40.26,38.28,20.49,17.54,22.06,30.72,52.46,5.61,131.23,134.1,80.06
2017-06-11,38.95,38.54,20.72,17.41,23.66,31.03,49.7,5.68,134.4,129.03,77.39
2017-06-12,37.27,36.42,21.26,18.09,23.72,32.12,47.87,5.7,125.86,125.21,74.84
2017-07-08,42.04,36.82,18.43,16.84,20.44,30.0,51.72,5.94,125.29,126.2,84.87
2017-07-09,40.61,37.78,18.85,16.65,21.13,29.62,52.0,5.73,128.92,129.41,82.35
2017-07-10,39.13,39.4,19.7,17.36,22.07,29.95,52.94,5.8,131.93,132.92,81.45
2017-07-11,38.92,38.65,21.0,17.84,24.03,31.6,51.9,5.61,130.75,133.39,80.17
2017-07-12,37.28,36.37,21.28,18.12,23.74,32.16,47.82,5.7,125.76,125.07,74.83
2017-08-08,41.99,36.86,18.43,16.83,20.46,29.97,51.76,5.93,125.44,126.36,84.8
2017-08-09,40.55,37.81,18.88,16.65,21.16,29.62,52.0,5.72,128.98,129.51,82.23
